"filename", "language", "JSON", "HTML", "SQL", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\popup\RaceInfo.module.css", "CSS", 0, 0, 0, 0, 0, 39, 1, 2, 42
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\popup\Ranking.js", "JavaScript", 0, 0, 0, 0, 33, 0, 1, 8, 42
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\popup\Ranking.module.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 2, 27
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\popup\Signup.js", "JavaScript", 0, 0, 0, 0, 85, 0, 3, 5, 93
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\popup\Signup.module.css", "CSS", 0, 0, 0, 0, 0, 88, 4, 8, 100
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\races\RaceItem.js", "JavaScript", 0, 0, 0, 0, 408, 0, 21, 26, 455
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\races\RaceItem.module.css", "CSS", 0, 0, 0, 0, 0, 86, 5, 10, 101
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\races\RaceList.js", "JavaScript", 0, 0, 0, 0, 35, 0, 1, 4, 40
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\races\RaceList.module.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Button\Button.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Button\Button.module.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 4, 54
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card.module.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card2.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card2.module.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card\Card.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 4, 14
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Card\Card.module.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Filter.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 3, 60
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\components\ui\Filter.module.css", "CSS", 0, 0, 0, 0, 0, 87, 1, 10, 98
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 3, 14
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\Home.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 3, 38
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\Home.module.css", "CSS", 0, 0, 0, 0, 0, 70, 1, 9, 80
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\Login\Login.js", "JavaScript", 0, 0, 0, 0, 89, 0, 5, 7, 101
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\Login\Login.module.css", "CSS", 0, 0, 0, 0, 0, 106, 3, 11, 120
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\Login\Register.js", "JavaScript", 0, 0, 0, 0, 147, 0, 4, 12, 163
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\MyRaces.js", "JavaScript", 0, 0, 0, 0, 68, 0, 2, 8, 78
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\NewRace.js", "JavaScript", 0, 0, 0, 0, 229, 0, 9, 13, 251
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\RaceSearch.js", "JavaScript", 0, 0, 0, 0, 78, 0, 5, 8, 91
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\RaceSearch.module.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 1, 5
"d:\Uni\Programmas\Xamp\htdocs\f1_site\frontend\src\pages\dummyData.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Uni\Programmas\Xamp\htdocs\f1_site\package-lock.json", "JSON", 5980, 0, 0, 0, 0, 0, 0, 1, 5981
"d:\Uni\Programmas\Xamp\htdocs\f1_site\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\aero.js", "JavaScript", 0, 0, 0, 0, 41, 0, 17, 7, 65
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\cars.js", "JavaScript", 0, 0, 0, 0, 41, 0, 18, 8, 67
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\condition.js", "JavaScript", 0, 0, 0, 0, 21, 0, 12, 6, 39
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\dbconnection.js", "JavaScript", 0, 0, 0, 0, 9, 0, 20, 6, 35
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\dbtest.js", "JavaScript", 0, 0, 0, 0, 35, 0, 2, 7, 44
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\drivers.js", "JavaScript", 0, 0, 0, 0, 52, 0, 21, 9, 82
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\email.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\getaero.js", "JavaScript", 0, 0, 0, 0, 80, 0, 24, 18, 122
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\getcars.js", "JavaScript", 0, 0, 0, 0, 80, 0, 24, 19, 123
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\getcondition.js", "JavaScript", 0, 0, 0, 0, 41, 0, 12, 10, 63
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\getdrivers.js", "JavaScript", 0, 0, 0, 0, 98, 0, 22, 26, 146
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\gettires.js", "JavaScript", 0, 0, 0, 0, 81, 0, 26, 20, 127
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\gettracks.js", "JavaScript", 0, 0, 0, 0, 80, 0, 24, 19, 123
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\index.js", "JavaScript", 0, 0, 0, 0, 45, 0, 4, 10, 59
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\race.js", "JavaScript", 0, 0, 0, 0, 689, 0, 54, 89, 832
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\tires.js", "JavaScript", 0, 0, 0, 0, 41, 0, 19, 9, 69
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\tracks.js", "JavaScript", 0, 0, 0, 0, 41, 0, 18, 6, 65
"d:\Uni\Programmas\Xamp\htdocs\f1_site\server\users.js", "JavaScript", 0, 0, 0, 0, 195, 0, 6, 20, 221
"d:\Uni\Programmas\Xamp\htdocs\f1_site\test.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Uni\Programmas\Xamp\htdocs\f1_site\testfile.sql", "SQL", 0, 0, 11, 0, 0, 0, 0, 7, 18
"Total", "-", 35593, 29, 4981, 52, 3591, 968, 2251, 1501, 48966
